ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTMETHOD
26922,33,100.83,7,3352.39,2025-02-12,Shipped,1,2,2025,Classic Cars,103.45,S46_7359,"Boone, Tran and Bush",372-334-8004x613,29512 Gibbs Bridge,Suite 206,North Christyberg,NC,86728,Iraq,APAC,Cisneros,Shawn,Medium,Credit Card
21431,79,84.27,1,6597.74,2025-03-31,Shipped,1,3,2025,Trucks and Buses,82.94,S18_5494,Weaver-Cook,(743)383-4177x5399,883 Smith River,Apt. 045,Stevenshire,AS,9951,Hong Kong,LATAM,Harrison,Cameron,Large,Credit Card
27610,6,114.45,5,677.77,2025-01-28,Resolved,1,1,2025,Vintage Cars,116.5,S17_5713,Crawford PLC,(421)773-9265,8641 Tyler Turnpike Apt. 938,Apt. 024,Benjaminport,MS,66607,Central African Republic,LATAM,Gilmore,Luke,Small,PayPal
21344,52,60.99,1,3188.9,2025-06-14,Shipped,2,6,2025,Motorcycles,60.9,S80_3635,Contreras-Jones,001-344-802-8962x280,015 Nguyen Shores Suite 660,Suite 715,Reyesside,TX,67119,Israel,LATAM,Carney,James,Medium,PayPal
23663,84,88.94,10,7460.21,2025-03-17,In Process,1,3,2025,Trucks and Buses,87.33,S77_5786,"Garcia, Holden and Jackson",517.401.5166x07232,444 Francis Camp,Apt. 015,South Michaelport,OH,7441,Andorra,APAC,Allen,Debbie,Large,PayPal
14121,10,111.42,10,1084.76,2025-04-19,Resolved,2,4,2025,Planes,100.37,S50_3077,Joyce LLC,001-441-494-7983x1026,882 Nicole Stream,Apt. 954,East Matthew,MS,60546,Grenada,EMEA,Martinez,Rachel,Small,Credit Card
13568,47,87.32,7,4073.68,2025-05-06,On Hold,2,5,2025,Classic Cars,90.44,S86_8820,Martin PLC,(746)238-8938x17309,180 Mendoza Motorway,Suite 237,Conniebury,MD,92143,Luxembourg,LATAM,Hansen,Robert,Medium,Credit Card
29768,49,49.04,4,2386.7,2025-04-29,Shipped,2,4,2025,Motorcycles,57.36,S78_7667,"Spencer, Marsh and Goodman",(385)453-2750x565,0198 Walker Glen Apt. 789,Apt. 719,Davisfort,ME,51807,Comoros,EMEA,Cox,Jessica,Medium,Credit Card
13824,14,30.71,5,535.49,2025-02-09,Cancelled,1,2,2025,Trains,30.47,S73_7996,Tucker PLC,001-727-241-3592,1974 Roy Ranch Suite 146,Suite 228,Port Rachelland,ND,27532,Montenegro,APAC,Jackson,Katie,Small,Credit Card
24548,37,105.1,4,3883.43,2025-06-05,Resolved,2,6,2025,Classic Cars,100.12,S23_8294,Donovan Inc,781-393-5550,154 Ashley Circles Apt. 296,Apt. 344,Eddieshire,AK,12107,Kiribati,EMEA,Hendricks,William,Medium,Bank Transfer
25615,26,71.62,10,1856.48,2025-01-30,Shipped,1,1,2025,Classic Cars,59.44,S17_8756,Stevens-Lewis,001-505-373-9730x20469,63242 Christopher Land Apt. 913,Apt. 583,Turnerberg,PR,961,Syrian Arab Republic,EMEA,James,Kimberly,Small,PayPal
15986,5,94.76,5,504.91,2025-02-01,On Hold,1,2,2025,Ships,101.51,S39_2448,Lee-Best,691.769.0968x5873,82659 Valenzuela Circles Suite 067,Suite 613,West Debra,CA,77819,Switzerland,LATAM,Mclean,Nicholas,Small,PayPal
28966,41,71.24,7,2896.15,2025-05-22,Shipped,2,5,2025,Classic Cars,84.59,S82_7198,"Johnson, Davis and Lee",(531)573-1532x36427,07065 Melanie Tunnel Apt. 501,Apt. 415,Newtonberg,MP,71242,Guyana,EMEA,Livingston,Kimberly,Medium,Bank Transfer
13046,81,75.95,10,6186.55,2025-02-18,Shipped,1,2,2025,Trucks and Buses,71.27,S93_3832,Burns-Schaefer,+1-953-893-2951x0613,193 Mcgee Walks,Suite 245,South Caseyfort,AK,18142,Oman,LATAM,Anderson,Mary,Large,Bank Transfer
16771,5,124.17,4,632.74,2025-06-18,Resolved,2,6,2025,Vintage Cars,148.81,S89_6193,Tucker-Benjamin,485.237.2370x437,6236 Velazquez Landing Apt. 129,Apt. 582,Port Sydney,NE,64713,Bolivia,APAC,Hood,Susan,Small,Credit Card
